店舗ID,店舗名,住所　,Googleマップ,カテゴリ１,カテゴリ２
,アランチャ,〒252-0804 神奈川県藤沢市湘南台２丁目３−１１,https://maps.app.goo.gl/uMy6rfB7biWPUt7s6,イタリアン,
,ダイニングバーSpigolA,〒252-0804 神奈川県藤沢市湘南台１丁目９−１３,https://maps.app.goo.gl/2hHPoXBq5ijG519E9,イタリアン,
,NewOrleans,"〒252-0804 Kanagawa, Fujisawa, 湘南台１丁目14−１９ Kフラット 1F",https://maps.app.goo.gl/rhsSMto7qNXcmyWx5,イタリアン,
,炭バル OKAWARI,〒252-0804 神奈川県藤沢市湘南台１丁目20−３ サンセードール湘南 103,https://maps.app.goo.gl/KCQFqEoMTn383mM78,イタリアン,
,TAVOLACE,〒252-0804 神奈川県藤沢市湘南台５丁目4−８ 湘南台リリエンハイム 1F,https://maps.app.goo.gl/WDB5RbM7B6GkKSeN8,イタリアン,
,Trattoria Adriana,〒252-0804 神奈川県藤沢市湘南台２丁目１８−１ サンウェイ湘南ビル １階,https://maps.app.goo.gl/Kk4TCGFKCHar4QdP6,イタリアン,
,ペピタライオン,〒252-0804 神奈川県藤沢市湘南台１丁目５−１０,https://maps.app.goo.gl/No98qfWSJKdgW6LA8,イタリアン,
,Amiche (アミーケ) ITALIANBAR,〒252-0804 神奈川県藤沢市湘南台１丁目１０−１０,https://maps.app.goo.gl/h1jDKz2N7pRZoRo96,イタリアン,
,CAFE DINING 4STYLE 湘南台店,〒252-0804 神奈川県藤沢市湘南台２丁目5−１１ ウエストプラザ１番館 103,https://maps.app.goo.gl/MtiyhgWc6izSB8HB9,イタリアン,
,COHACO,〒252-0804 神奈川県藤沢市湘南台２丁目１２−１ らうらうじ湘南台 H 棟 2F 店舗 8,https://maps.app.goo.gl/ShRcPyLNtWmYes75A,イタリアン,
,イタリアン酒場 食彩ガーデン,〒252-0804 神奈川県藤沢市湘南台２丁目７−１５,https://maps.app.goo.gl/1KjVGQN2NoAq7GH57,イタリアン,
,improve 湘南台,〒252-0804 神奈川県藤沢市湘南台２丁目５−１０ ウエストプラザ5番地1F,https://maps.app.goo.gl/SH4YY54DRtcLj5GX8,イタリアン,
,DINER ROUGH,〒252-0804 神奈川県藤沢市湘南台２丁目８−７ ライオンズマンション湘南台 ライオンズマンション湘南台 1F,https://maps.app.goo.gl/GsS5ZN8Gbhx7VZzj9,イタリアン,
,1Cafe&Bar,〒252-0804 神奈川県藤沢市湘南台１丁目１２−７ カーサ湘南台 1F,https://maps.app.goo.gl/Pzi28XiPhUi3fdYNA,イタリアン,
,ラ ヴィータ,〒252-0804 神奈川県藤沢市湘南台２丁目１７−６,https://maps.app.goo.gl/WXBNwFKcGwYWiBHn9,イタリアン,
,肉の寅屋総本店,〒252-0804 神奈川県藤沢市湘南台２丁目1−１ ペアシティ湘南 103,https://maps.app.goo.gl/mWKpFZ3F1gq4L2PH9,焼肉,
,炭火焼肉 ｢ざんまい/湘南台店｣,〒252-0804 神奈川県藤沢市湘南台４丁目８−１１,https://maps.app.goo.gl/Vg7wXdvGLqSb9i9M8,焼肉,
,食彩和牛しげ吉 湘南台店,〒252-0804 神奈川県藤沢市湘南台２丁目4−４ ビービル 3F,https://maps.app.goo.gl/5HjDAKHdobeEw2jNA,焼肉,
,プレミアムカルビ 湘南台店,〒252-0804 神奈川県藤沢市湘南台７丁目37−９,https://maps.app.goo.gl/BpyPUcHFA4fkxsQh6,焼肉,
,焼肉の老舗 浜忠,〒252-0804 神奈川県藤沢市湘南台１丁目21−１６,https://maps.app.goo.gl/mEBZJaPLwCP6yDQg9,焼肉,
,あおもり,〒252-0804 神奈川県藤沢市湘南台２丁目１０−６,https://maps.app.goo.gl/edJEyrsp2ZM2reT16,焼肉,
